filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20181022_124639.jpg,1067,800,pavoreal,309,345,647,654
IMG_20181022_124639.jpg,1067,800,pavoreal,895,49,985,199
IMG_20181117_145936.jpg,1067,800,pavoreal,120,169,282,355
IMG_20181117_145936.jpg,1067,800,pavoreal,236,391,565,523
IMG_20181117_145936.jpg,1067,800,pavoreal,663,395,785,538
IMG_20190121_153525.jpg,800,1067,pavoreal,466,448,629,592
IMG_20190123_085048.jpg,800,1067,pavoreal,299,250,504,428
IMG_20190124_114430.jpg,1067,800,pavoreal,183,411,371,506
IMG_20190122_174904.jpg,800,1067,pavoreal,429,569,520,689
IMG_20181117_102435_01.jpg,1067,800,pavoreal,318,233,720,493
IMG_20190121_153609.jpg,800,1067,pavoreal,277,478,643,564
pavo-real-stock-photo_csp48586043.jpg,450,321,pavoreal,188,196,272,262
IMG_20181117_145937.jpg,1067,800,pavoreal,634,359,760,491
IMG_20181117_145937.jpg,1067,800,pavoreal,254,391,602,542
IMG_20181026_154422.jpg,800,1067,pavoreal,298,333,503,637
pavo-real.jpg,338,450,pavoreal,141,176,198,290
IMG_20190123_180206.jpg,1067,800,pavoreal,499,245,565,313
IMG_20181022_125315.jpg,800,1067,pavoreal,309,491,410,652
IMG_20190121_153607.jpg,800,1067,pavoreal,416,412,713,500
IMG_20181117_145929.jpg,1067,800,pavoreal,453,438,614,529
IMG_20181117_145929.jpg,1067,800,pavoreal,590,317,674,411
IMG_20181117_145929.jpg,1067,800,pavoreal,439,387,495,449
IMG_20181117_102436.jpg,1067,800,pavoreal,330,272,695,531
IMG_20190121_153520.jpg,800,1067,pavoreal,449,454,572,554
IMG_20181117_145936_01.jpg,1067,800,pavoreal,672,387,803,538
IMG_20181117_145936_01.jpg,1067,800,pavoreal,235,402,604,566
IMG_20181117_145936_01.jpg,1067,800,pavoreal,10,177,207,388
IMG_20190123_095324.jpg,800,1067,pavoreal,312,493,545,617
P1100204.jpg,1148,800,pavoreal,459,338,710,685
IMG_20181126_141516.jpg,1067,800,pavoreal,260,410,530,513
IMG_20190123_085752.jpg,800,1067,pavoreal,241,471,307,577
IMG_20181117_145931_01.jpg,1067,800,pavoreal,443,468,666,635
IMG_20181117_145931_01.jpg,1067,800,pavoreal,337,410,464,502
IMG_20181117_145931_01.jpg,1067,800,pavoreal,465,259,591,388
IMG_20181019_125314.jpg,800,1067,pavoreal,254,343,401,519
IMG_20190122_174847.jpg,800,1067,pavoreal,374,448,470,556
IMG_20190123_095808.jpg,1067,800,pavoreal,375,455,464,533
IMG_20190123_095808.jpg,1067,800,pavoreal,254,471,328,559
IMG_20190121_153528.jpg,800,1067,pavoreal,294,462,461,603
IMG_20190122_174901.jpg,800,1067,pavoreal,357,551,418,653
IMG_20190122_174901.jpg,800,1067,pavoreal,378,484,428,549
IMG_20181117_145932.jpg,1067,800,pavoreal,513,476,719,643
IMG_20181117_145932.jpg,1067,800,pavoreal,336,417,492,527
IMG_20181117_145932.jpg,1067,800,pavoreal,467,241,574,390
IMG_20190124_114451.jpg,1067,800,pavoreal,176,428,450,605
IMG_20190123_085729.jpg,800,1067,pavoreal,266,440,421,536
IMG_20181117_145933.jpg,1067,800,pavoreal,529,492,731,639
IMG_20181117_145933.jpg,1067,800,pavoreal,344,427,504,551
IMG_20181117_145933.jpg,1067,800,pavoreal,427,256,544,395
IMG_20190124_114450.jpg,1067,800,pavoreal,455,377,689,530
IMG_20181117_102439.jpg,1067,800,pavoreal,336,279,657,586
IMG_20190124_114453.jpg,1067,800,pavoreal,446,301,747,427
IMG_20181117_145940.jpg,1067,800,pavoreal,570,299,740,538
IMG_20181026_172106.jpg,800,1067,pavoreal,135,384,282,576
IMG_20181022_124637.jpg,1067,800,pavoreal,372,499,781,742
IMG_20181022_124637.jpg,1067,800,pavoreal,738,251,819,373
IMG_20181022_124637.jpg,1067,800,pavoreal,968,317,1063,484
IMG_20181019_104156.jpg,1067,800,pavoreal,972,624,1065,800
IMG_20181019_104156.jpg,1067,800,pavoreal,439,461,634,602
IMG_20181117_102433.jpg,1067,800,pavoreal,297,334,655,528
IMG_20190121_153519.jpg,800,1067,pavoreal,419,433,599,522
IMG_20190124_114445.jpg,1067,800,pavoreal,424,468,627,562
pavo-real-03.jpg,1067,800,pavoreal,117,106,829,634
IMG_20190122_174843.jpg,800,1067,pavoreal,299,434,383,509
IMG_20181019_125318.jpg,800,1067,pavoreal,413,450,512,635
IMG_20190123_085052.jpg,800,1067,pavoreal,500,484,588,778
IMG_20181117_145942.jpg,1067,800,pavoreal,450,321,586,528
IMG_20181117_145938.jpg,1067,800,pavoreal,507,353,657,566
IMG_20190123_085745.jpg,800,1067,pavoreal,334,523,392,684
IMG_20190123_095334.jpg,1067,800,pavoreal,465,282,617,494
IMG_20190124_114511.jpg,800,1067,pavoreal,121,567,198,636
IMG_20190124_114511.jpg,800,1067,pavoreal,513,483,581,542
IMG_20181022_130551.jpg,1067,800,pavoreal,465,304,661,590
IMG_20190122_174844.jpg,800,1067,pavoreal,410,401,515,487
IMG_20190121_153527.jpg,800,1067,pavoreal,318,434,541,554
IMG_20181123_103831.jpg,1067,800,pavoreal,252,268,386,364
IMG_20181123_103831.jpg,1067,800,pavoreal,683,250,776,320
IMG_20181123_103831.jpg,1067,800,pavoreal,936,250,1057,343
IMG_20190123_180210.jpg,1067,800,pavoreal,558,318,736,446
IMG_20181117_145934.jpg,1067,800,pavoreal,431,269,540,429
IMG_20181117_145934.jpg,1067,800,pavoreal,385,490,583,596
