filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20190124_114434.jpg,800,1067,pavoreal,269,511,374,622
IMG_20181117_145941.jpg,1067,800,pavoreal,542,308,688,533
IMG_20181022_125329.jpg,800,1067,pavoreal,257,520,606,695
IMG_20181019_125431.jpg,1067,800,pavoreal,318,280,473,434
IMG_20190123_180211.jpg,1067,800,pavoreal,606,325,681,454
IMG_20190124_114438.jpg,1067,800,pavoreal,439,386,521,543
IMG_20190124_114438.jpg,1067,800,pavoreal,179,411,220,502
IMG_20190124_114438.jpg,1067,800,pavoreal,637,305,697,350
IMG_20181026_154426.jpg,800,1067,pavoreal,215,398,531,712
IMG_20181117_145937.jpg,1067,800,pavoreal,634,359,760,491
IMG_20181117_145937.jpg,1067,800,pavoreal,350,391,602,543
IMG_20181022_125327.jpg,800,1067,pavoreal,177,533,565,733
IMG_20190208_173409.jpg,1067,800,pavoreal,639,410,794,511
IMG_20190124_114450.jpg,1067,800,pavoreal,528,377,679,534
IMG_20181117_102435_01.jpg,1067,800,pavoreal,441,233,720,427
IMG_20181117_145942.jpg,1067,800,pavoreal,450,321,559,521
IMG_20190122_174901.jpg,800,1067,pavoreal,357,551,418,653
IMG_20190122_174901.jpg,800,1067,pavoreal,378,484,428,549
IMG_20181117_102439.jpg,1067,800,pavoreal,435,279,655,488
IMG_20190123_095338.jpg,1067,800,pavoreal,719,377,798,488
IMG_20181022_125332.jpg,800,1067,pavoreal,414,687,514,797
IMG_20181022_125332.jpg,800,1067,pavoreal,267,529,332,608
IMG_20181022_124640.jpg,1067,800,pavoreal,320,390,431,638
IMG_20181022_124640.jpg,1067,800,pavoreal,566,279,817,495
IMG_20181117_145938.jpg,1067,800,pavoreal,507,353,657,566
IMG_20181022_124637.jpg,1067,800,pavoreal,372,499,781,742
IMG_20181022_124637.jpg,1067,800,pavoreal,738,251,819,373
IMG_20181022_124637.jpg,1067,800,pavoreal,968,317,1063,484
IMG_20181022_124637.jpg,1067,800,pavoreal,505,387,703,531
IMG_20190123_085053.jpg,800,1067,pavoreal,431,520,553,695
IMG_20190208_173420.jpg,1067,800,pavoreal,668,487,801,561
IMG_20190117_083411.jpg,800,1067,pavoreal,327,492,372,561
IMG_20181123_103831.jpg,1067,800,pavoreal,252,268,386,364
IMG_20181123_103831.jpg,1067,800,pavoreal,683,250,776,320
IMG_20181123_103831.jpg,1067,800,pavoreal,936,250,1057,343
IMG_20181126_141515.jpg,1067,800,pavoreal,283,399,445,519
IMG_20181126_141512.jpg,1067,800,pavoreal,447,267,564,437
IMG_20190123_085735.jpg,800,1067,pavoreal,322,485,389,574
IMG_20181022_130549.jpg,800,1067,pavoreal,395,301,581,700
IMG_20181117_145935.jpg,1067,800,pavoreal,664,463,797,612
IMG_20181117_145935.jpg,1067,800,pavoreal,322,441,576,550
IMG_20181117_145935.jpg,1067,800,pavoreal,268,230,424,390
IMG_20190124_114451.jpg,1067,800,pavoreal,267,428,450,600
IMG_20190122_174917.jpg,1067,800,pavoreal,520,401,607,471
IMG_20190122_174917.jpg,1067,800,pavoreal,658,379,725,443
IMG_20190123_095805.jpg,1067,800,pavoreal,472,320,635,435
IMG_20190123_095805.jpg,1067,800,pavoreal,277,317,410,429
IMG_20190123_095805.jpg,1067,800,pavoreal,253,219,311,275
IMG_20190121_153611.jpg,800,1067,pavoreal,306,525,429,599
IMG_20190124_114500.jpg,800,1067,pavoreal,377,468,462,523
IMG_20190123_095328.jpg,800,1067,pavoreal,367,354,471,532
IMG_20181117_145934.jpg,1067,800,pavoreal,431,269,540,429
IMG_20181117_145934.jpg,1067,800,pavoreal,385,490,583,596
IMG_20181117_145934.jpg,1067,800,pavoreal,644,544,817,706
IMG_20190123_180209.jpg,1067,800,pavoreal,638,264,829,375
IMG_20181022_124636.jpg,1067,800,pavoreal,359,505,675,746
IMG_20181022_124636.jpg,1067,800,pavoreal,351,345,501,492
IMG_20181022_124636.jpg,1067,800,pavoreal,607,284,673,442
IMG_20181117_145932.jpg,1067,800,pavoreal,513,476,719,643
IMG_20181117_145932.jpg,1067,800,pavoreal,336,417,492,527
IMG_20181117_145932.jpg,1067,800,pavoreal,467,241,574,390
IMG_20181117_145933.jpg,1067,800,pavoreal,529,492,731,639
IMG_20181117_145933.jpg,1067,800,pavoreal,344,427,504,551
IMG_20181117_145933.jpg,1067,800,pavoreal,427,256,544,395
